Airport Code
PTX
CLO
PCR
MVP
FLA
ADZ
TME
SVI
NVA
SJE
MSK
PSO
VVC
MTR
EYP
BOG
RON
VGZ
CTG
PPN
VUP
IPI
UIB
BUN
PUU
HAY
MIA
PDA
PEI
RCH
MZL
TCO
IBE
EOH
AUC
NQU
CZU
SMR
AXM
EJA
CUC
BAQ
APO
MDE
LMC
BGA
GPI
RVE
LQM
BSC
LET
